indicator_name,ticker,return_pct,buy_hold_return_pct,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,sharpe_ratio,start_date,end_date,script_file,timestamp
RSI Oversold Bounce,SPY,17.03,35.7,-13.66,2,100.0,nan,0.64,2024-02-16 00:00:00,2026-02-13 00:00:00,_example_rsi_bounce.py,2026-02-15 01:16:22
RSI Oversold Bounce,QQQ,19.0,36.62,-15.65,2,100.0,nan,0.63,2024-02-16 00:00:00,2026-02-13 00:00:00,_example_rsi_bounce.py,2026-02-15 01:17:05
RSI Oversold Bounce,SPY,17.03,35.7,-13.66,2,100.0,0,0.64,2024-02-16 00:00:00,2026-02-13 00:00:00,_example_rsi_bounce.py,2026-02-15 01:17:30
RSI Oversold Bounce,SPY,17.03,35.7,-13.66,2,100.0,0,0.64,2024-02-16 00:00:00,2026-02-13 00:00:00,_example_rsi_bounce.py,2026-02-15 12:54:07
ORB + Key Session Levels Strategy,SPY,0.0,39.86,-0.0,0,nan,0,0,2024-02-16,2026-02-13,orb_key_session.py,2026-02-15 12:57:11
ORB + Key Session Levels Strategy,SPY,0.0,36.6,-0.0,0,nan,0,0,2024-02-16,2026-02-13,orb_key_session.py,2026-02-15 12:57:30
RSI Oversold Bounce,SPY,17.03,35.7,-13.66,2,100.0,0,0.64,2024-02-16 00:00:00,2026-02-13 00:00:00,_example_rsi_bounce.py,2026-02-15 12:59:13
ORB + Key Session Levels Strategy,SPY,-14.03,36.6,-17.27,40,30.0,0.7,-0.53,2024-02-16 00:00:00,2026-02-13 00:00:00,orb_key_session.py,2026-02-15 12:59:53
ORB + Key Session Levels Strategy,QQQ,-5.54,40.25,-23.44,46,30.43,0.97,-0.15,2024-02-16 00:00:00,2026-02-13 00:00:00,orb_key_session.py,2026-02-15 13:00:00
Super Trend + RSI,SPY,22.47,35.7,-13.67,0,0,0,0.73,2024-02-16 00:00:00,2026-02-13 00:00:00,supertrend_stoch_rsi.py,2026-02-15 13:45:32
Super Trend + RSI,SPY,35.17,35.7,-18.73,0,0,0,0.87,2024-02-16 00:00:00,2026-02-13 00:00:00,supertrend_stoch_rsi.py,2026-02-15 13:46:18
Super Trend + RSI,SPY,0.0,36.6,-0.0,0,0,0,0,2024-02-16 00:00:00,2026-02-13 00:00:00,supertrend_stoch_rsi.py,2026-02-15 13:47:19
Super Trend + RSI,SPY,0.0,35.7,-0.0,0,0,0,0,2024-02-16 00:00:00,2026-02-13 00:00:00,supertrend_stoch_rsi.py,2026-02-15 13:48:37
Super Trend + RSI,QQQ,0.0,36.62,-0.0,0,0,0,0,2024-02-16 00:00:00,2026-02-13 00:00:00,supertrend_stoch_rsi.py,2026-02-15 13:49:07
EMA + RSI,SPY,0.0,36.6,-0.0,0,0,0,0,2024-02-16 00:00:00,2026-02-13 00:00:00,supertrend_stoch_rsi.py,2026-02-15 13:49:50
Super Trend + RSI,SPY,0.0,36.6,-0.0,0,0,0,0,2024-02-16 00:00:00,2026-02-13 00:00:00,supertrend_stoch_rsi.py,2026-02-15 13:50:16
Super Trend + RSI,SPY,0.0,36.54,-0.0,0,0,0,0,2024-02-16 00:00:00,2026-02-13 00:00:00,supertrend_stoch_rsi.py,2026-02-15 14:25:39
Super Trend + RSI,QQQ,0.0,40.44,-0.0,0,0,0,0,2024-02-16 00:00:00,2026-02-13 00:00:00,supertrend_stoch_rsi.py,2026-02-15 14:25:41
Super Trend + RSI,SPY,-0.33,36.54,-6.59,13,38.46,1.0,-0.03,2024-02-16 00:00:00,2026-02-13 00:00:00,supertrend_stoch_rsi.py,2026-02-15 14:27:23
Super Trend + RSI,QQQ,6.08,40.44,-7.24,11,45.45,1.44,0.42,2024-02-16 00:00:00,2026-02-13 00:00:00,supertrend_stoch_rsi.py,2026-02-15 14:27:25
